基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费
008420,广发招泰混合A,GFZTHHA,混合型,,-0.4131,0.6212,2.5928,,,,,,,1,2020-08-14,1.0367,0.4165,1,0.10%,100,1,1.00%,0.10%
008851,景顺长城量化对冲策略三个月定开,JSCCLHDCCLSGYDK,混合型,,0.2048,0.1267,2.5861,,,,,,,1,2020-08-14,1.0274,0.0487,0,0.15%,100,1,1.50%,0.15%
450005,国富强化收益债券A,GFQHSYZQA,债券型,4.7689,0.2092,0.7403,2.5678,3.8274,8.5702,16.7242,18.3756,28.8085,,1,2020-08-14,1.1974,0.2260,1,0.08%,100,1,0.80%,0.08%
009064,鹏扬景沃六个月持有期混合A,PYJWLGYCYQHHA,混合型,,0.1058,0.9214,2.5527,,,,,,,3,2020-08-14,1.0405,0.2602,1,0.12%,100,1,1.20%,0.12%
003938,南方荣尊混合A,NFRZHHA,混合型,6.4205,-0.0250,0.4934,2.5516,4.8055,11.5888,17.3077,19.7270,,,1,2020-08-14,1.2017,0.0166,0,0.06%,100,1,0.60%,0.06%
519061,海富通纯债债券A,HFTCZZQA,债券型,0.1690,0.1672,0.3350,2.5327,0.01,2.3722,6.9323,12.7983,17.4020,,1,2020-08-14,1.1980,0,0,0.08%,100,1,0.80%,0.08%
519730,交银定期支付月月丰债券A,JYDQZFYYFZQA,债券型,5.0131,-0.7730,-0.1493,2.5304,3.3892,9.8289,16.1912,14.7783,23.6210,,1,2020-08-14,1.6046,0.1185,1,0.08%,100,1,0.80%,0.08%
519667,银河银信添利债券A,YHYXTLZQA,债券型,6.3592,-0.9903,-0.1494,2.5252,3.9248,8.9404,15.4067,19.6212,29.8898,,1,2020-08-14,1.0698,0.1310,1,0.08%,1000,1,0.80%,0.08%
100050,富国全球债券(QDII),FGQQZQQDII,QDII,3.8021,0.0573,0.7745,2.5231,2.7729,2.9545,10.5877,13.3550,24.1726,,1,2020-08-13,1.2231,-0.2203,1,0.08%,100,1,0.80%,0.08%
000024,大摩双利增强债券A,DMSLZQZQA,债券型,4.0429,0.3182,1.2851,2.5203,3.2760,6.8644,13.1957,17.8504,30.0140,,1,2020-08-14,1.2610,0.2385,1,0.08%,100,1,0.80%,0.08%
001946,东方红信用债债券C,DFHXYZZQC,债券型,3.6647,0.1762,0.7264,2.5009,3.1291,6.7413,14.9884,19.7654,,,1,2020-08-14,1.1370,0.2027,0,0.00%,100,0,,
450006,国富强化收益债券C,GFQHSYZQC,债券型,4.5706,0.2072,0.7114,2.4884,3.6652,8.2388,16.0384,17.3715,27.1104,,1,2020-08-14,1.1609,0.2245,0,0.00%,100,0,0.00%,0.00%
100035,富国优化增强债券A/B,FGYHZQZQAB,债券型,5.6751,-0.3454,-1.2550,2.4867,2.5129,8.7867,18.4278,20.9362,24.9461,,1,2020-08-14,1.7310,0.4643,1,0.08%,100,1,0.80%,0.08%
008421,广发招泰混合C,GFZTHHC,混合型,,-0.4138,0.5929,2.4856,,,,,,,1,2020-08-14,1.0349,0.4172,1,0.00%,100,0,,
001164,中欧琪和灵活配置混合A,ZOQHLHPZHHA,混合型,5.8561,-0.1224,2.0182,2.4850,4.8362,8.5862,16.1222,20.5424,32.9077,,1,2020-08-14,1.1424,0.2017,1,0.10%,100,1,1.00%,0.10%
007267,嘉实新添益定期混合C,JSXTYDQHHC,混合型,3.7186,0.1666,1.5292,2.4714,3.1453,8.3066,,,,,1,2020-08-14,1.0822,0.2315,0,0.00%,100,0,,
000708,华安安享混合,HAAXHH,混合型,4.8940,0.0778,0,2.4701,4.8085,6.8106,11.6319,16.8029,21.7803,,1,2020-08-14,1.2860,0.1558,1,0.15%,100,1,1.50%,0.15%
519060,海富通纯债债券C,HFTCZZQC,债券型,-0.0727,0.0843,0.2532,2.4664,-0.2322,1.9765,6.1197,11.5562,15.1859,,1,2020-08-14,1.1880,0,0,0.00%,100,0,,
005579,光大保德信晟利债券A,GDBDXSLZQA,债券型,3.6307,0.0458,-0.2191,2.4555,2.7154,4.8130,9.2872,,,,1,2020-08-14,1.0932,0.1099,1,0.08%,100,1,0.80%,0.08%
009065,鹏扬景沃六个月持有期混合C,PYJWLGYCYQHHC,混合型,,0.0964,0.8838,2.4458,,,,,,,3,2020-08-14,1.0388,0.2606,1,0.00%,100,0,,
002535,中银鑫利混合A,ZYXLHHA,混合型,4.6099,0.4255,-0.1692,2.4305,3.7818,9.6058,23.0419,35.7076,,,1,2020-08-14,1.18,0.2549,1,0.10%,100,1,1.00%,0.10%
002720,国寿安保尊利增强回报债券A,GSABZLZQHBZQA,债券型,6.7478,0.0878,0.6183,2.4280,5.2680,11.8609,16.5391,16.7708,,,1,2020-08-14,1.1390,0.3524,1,0.08%,100,1,0.80%,0.08%
519666,银河银信添利债券B,YHYXTLZQB,债券型,6.1049,-0.9919,-0.1776,2.4255,3.7201,8.5102,14.4876,18.1293,27.2815,,1,2020-08-14,1.0680,0.1313,1,0.00%,100,0,0.00%,0.00%
519731,交银定期支付月月丰债券C,JYDQZFYYFZQC,债券型,4.7581,-0.7766,-0.1409,2.4179,3.2318,9.3895,15.2959,13.4498,21.2131,,1,2020-08-14,1.5588,0.1220,1,0.00%,100,0,0.00%,0.00%
000025,大摩双利增强债券C,DMSLZQZQC,债券型,3.7783,0.2433,1.2285,2.4026,3.0859,6.3683,12.2616,16.4939,27.7344,,1,2020-08-14,1.2360,0.2433,1,0.00%,100,0,0.00%,0.00%
003939,南方荣尊混合C,NFRZHHC,混合型,6.0268,-0.0339,0.4431,2.3977,4.4947,10.9156,15.9225,17.5878,,,1,2020-08-14,1.1787,0.0170,0,0.00%,100,0,,
100037,富国优化增强债券C,FGYHZQZQC,债券型,5.3913,-0.3634,-1.3197,2.3647,2.2740,8.3118,17.3614,19.3875,22.3113,,1,2020-08-14,1.6450,0.4274,1,0.00%,100,0,0.00%,0.00%
519676,银河强化债券,YHQHZQ,债券型,5.6374,-0.2627,-0.6108,2.3586,3.8114,9.3896,14.1727,17.0660,29.7774,,1,2020-08-14,1.1390,0.2641,0,0.08%,100,1,0.80%,0.08%
005580,光大保德信晟利债券C,GDBDXSLZQC,债券型,3.3770,0.0463,-0.2492,2.3586,2.5237,4.3957,8.0384,,,,1,2020-08-14,1.0806,0.1112,1,0.00%,100,0,,
001165,中欧琪和灵活配置混合C,ZOQHLHPZHHC,混合型,5.5311,-0.1413,1.9738,2.3521,4.5656,8.0115,11.3016,14.8562,23.7152,,1,2020-08-14,1.1314,0.2037,1,0.00%,100,0,,
002721,国寿安保尊利增强回报债券C,GSABZLZQHBZQC,债券型,6.3790,0,0.5319,2.3466,5,11.3870,15.6313,15.4007,,,1,2020-08-14,1.1340,0.2653,1,0.00%,100,0,,
005360,汇安资产轮动混合,HAZCLDHH,混合型,-3.0631,-4.4820,-7.2294,2.3341,0.9837,1.5685,-7.5960,,,,1,2020-08-14,0.8418,1.6544,1,0.15%,100,1,1.50%,0.15%
002490,金鹰元祺信用债,JYYQXYZ,债券型,6.8798,-1.3763,-2.1856,2.3192,2.6071,12.8538,16.8928,22.3486,,,1,2020-08-14,1.2397,-0.0403,1,0.08%,100,1,0.80%,0.08%
020033,国泰民安增利债券A,GTMAZLZQA,债券型,3.5610,0.1970,0.3048,2.2953,3.0778,4.9284,9.2948,12.0576,21.3070,,1,2020-08-14,1.1186,0.1971,1,0.08%,100,1,0.80%,0.08%
005906,招商丰茂灵活混合发起式A,ZSFMLHHHFQSA,混合型,4.3989,0.1660,1.2454,2.2934,4.1523,6.7716,14.4812,,,,1,2020-08-14,1.1463,0.0698,1,0.15%,100,1,1.50%,0.15%
002536,中银鑫利混合C,ZYXLHHC,混合型,4.4924,0.3451,-0.2573,2.2867,3.6542,9.3555,22.2318,34.1372,,,1,2020-08-14,1.1630,0.2586,1,0.00%,100,0,,
000236,工银月月薪定期支付债券A,GYYYXDQZFZQA,债券型,6.4757,-0.0584,-0.2915,2.2727,3.9514,10.7513,14.3813,16.2475,21.5352,,1,2020-08-14,1.71,0.2933,1,0.08%,100,1,0.80%,0.08%
008791,招商安华债券A,ZSAHZQA,债券型,,0.3040,0.4616,2.2695,,,,,,,1,2020-08-14,1.0229,0.1469,1,0.08%,100,1,0.80%,0.08%
007401,浦银颐和稳健养老一年(FOF)A,PYYHWJYLYNFOFA,混合-FOF,4.2060,-0.3802,0.0286,2.2439,3.3836,,,,,,3,2020-08-12,1.0480,-0.3992,0,0.08%,100,1,0.80%,0.08%
008044,博远增强回报债券A,BYZQHBZQA,债券型,3.4136,-0.6814,-2.3219,2.2427,2.2629,,,,,,1,2020-08-14,1.0349,0.2907,1,0.08%,100,1,0.80%,0.08%
