基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费,基金规模,基金经理url,成立时间,跟踪误差率,当前经理管理天数,当前回报率,经理工作年限,经理管理过的基金数量,经理平均名次,经理平均回报率,跑赢均值比例,排名在前50%比例
4191,招商沪深300指数增强C,ZSHS300ZSZQC,股票指数,25.45300000000001,0.05,0.8195,27.6253,28.7969,37.7012,58.0747,50.4327,,,1,2020-08-14,1.5994,1.4655,1,0.00%,100,0.0,,,1.48亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_004191.html,2017-02-10,0.19%,1289,60.42,10.175342465753424,36,0.5474754916066691,-6.156944444444445,0.4722222222222222,0.4722222222222222
512,国泰沪深300指数增强A,GTHS300ZSZQA,股票指数,24.3776,0.7271,1.7394,27.5565,25.947,36.8624,38.2804,33.3882,66.4133,,1,2020-08-14,1.5792,1.5497,1,0.10%,100,1.0,1.00%,0.10%,2.66亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_000512.html,2014-05-19,0.21%,274,33.05,5.589041095890411,15,0.4236391319759169,3.7550000000000017,0.4666666666666667,0.4
7143,国投瑞银沪深300量化A,GTRYHS300LHA,股票指数,24.9533,0.7986,0.9811,27.55,26.7165,34.5535,,,,,1,2020-08-14,1.338,1.3329,1,0.12%,100,1.0,1.20%,0.12%,0.85亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007143.html,2019-06-11,0.27%,438,34.63,6.9095890410958924,10,0.4513415792736853,14.077000000000005,0.6,0.6
160221,国泰国证有色金属行业指数分级,GTGZYSJSHYZSFJ,股票指数,13.27,-7.0935,-0.7814,27.5214,9.748,23.4342,19.6477,-19.9328,-18.6438,,1,2020-08-14,0.9142,0.6163,1,0.00%,100,0.0,,,26.27亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160221.html,2015-03-30,0.15%,295,33.43,5.589041095890411,15,0.4236391319759169,3.7550000000000017,0.4666666666666667,0.4
165310,建信沪深300指数增强(LOF)A,JXHS300ZSZQLOFA,股票指数,27.3927,0.8748,0.4237,27.441999999999997,29.7554,44.3898,53.5967,48.0641,55.1565,,1,2020-08-14,1.2799,1.5471,1,0.15%,100,1.0,1.50%,0.15%,1.44亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_165310.html,2011-05-06,0.26%,1977,69.65,10.802739726027395,22,0.4252899484342907,-1.6977272727272734,0.5,0.5454545454545454
7144,国投瑞银沪深300量化C,GTRYHS300LHC,股票指数,24.6162,0.7873,0.9478,27.4311,26.4387,33.9976,,,,,1,2020-08-14,1.3314,1.3242,1,0.00%,100,0.0,,,0.02亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007144.html,2019-06-11,0.27%,438,33.95,6.9095890410958924,10,0.4513415792736853,14.077000000000005,0.6,0.6
6341,中金MSCI质量A,ZJMSCIZLA,股票指数,40.0523,-0.5566,-1.6029,27.3881,38.3419,62.1799,,,,,1,2020-08-14,2.1977,1.3466,1,0.10%,100,1.0,1.00%,0.10%,0.92亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_006341.html,2018-11-22,0.84%,639,122.41,1.8493150684931507,11,0.6999996807348093,-21.009999999999994,0.18181818181818185,0.18181818181818185
310318,申万菱信沪深300指数增强A,SWLXHS300ZSZQA,股票指数,28.0745,0.9763,1.9278,27.3527,28.1591,42.9277,57.3971,48.3253,53.443999999999996,,1,2020-08-14,3.2992,1.7643,1,0.12%,100,1.0,1.20%,0.12%,5.07亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_310318.html,2004-11-29,0.24%,123,32.84,2.868493150684932,12,0.4964756039095114,-4.7175,0.4166666666666667,0.5833333333333334
9208,建信沪深300指数增强(LOF)C,JXHS300ZSZQLOFC,股票指数,,0.8599,0.3848,27.3125,,,,,,,1,2020-08-14,1.2786,1.5407,0,0.00%,100,0.0,,,0.02亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_009208.html,2020-05-07,0.26%,107,29.05,10.802739726027395,22,0.4252899484342907,-1.6977272727272734,0.5,0.5454545454545454
6342,中金MSCI质量C,ZJMSCIZLC,股票指数,39.8355,-0.5576,-1.6191,27.3054,38.1795,61.8176,,,,,1,2020-08-14,2.1936,1.3444,1,0.00%,100,0.0,,,0.37亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_006342.html,2018-11-22,0.84%,639,121.98,1.8493150684931507,11,0.6999996807348093,-21.009999999999994,0.18181818181818185,0.18181818181818185
7804,申万菱信沪深300指数增强C,SWLXHS300ZSZQC,股票指数,27.7643,0.9709,1.8953,27.2394,27.9134,41.7612,,,,,1,2020-08-14,1.4247,1.7643,1,0.00%,100,0.0,,,0.40亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007804.html,2019-08-08,0.24%,123,32.68,2.868493150684932,12,0.4964756039095114,-4.7175,0.4166666666666667,0.5833333333333334
8238,中泰沪深300增强A,ZTHS300ZQA,股票指数,,0.6242,0.0224,27.1742,,,,,,,1,2020-08-14,1.338,1.402,1,0.10%,100,1.0,1.00%,0.10%,0.99亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_008238.html,2020-04-01,--,143,35.75,0.6986301369863014,4,0.4945444287341383,-0.2799999999999976,0.5,0.5
5870,鹏华沪深300指数增强,PHHS300ZSZQ,股票指数,23.2695,1.2975,-1.5153,27.1247,25.9616,34.0593,42.6948,,,,1,2020-08-14,1.2804,1.8049,1,0.12%,100,1.0,1.20%,0.12%,0.27亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_005870.html,2018-05-25,0.21%,750,47.11,2.558904109589041,13,0.6813446392513167,-9.225384615384616,0.07692307692307693,0.2307692307692308
165520,信诚中证800有色指数分级,XCZZ800YSZSFJ,股票指数,13.5629,-6.5545,-1.3097,27.1084,8.9875,27.4387,23.4584,-11.8416,0.6395,,1,2020-08-14,1.055,0.2852,1,0.12%,100,1.0,1.20%,0.12%,2.04亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_165520.html,2013-08-30,0.19%,68,26.09,2.0794520547945203,19,0.5269269804777507,-1.6736842105263172,0.42105263157894735,0.4736842105263158
