序号,基金公司,相关链接,成立时间,天相评级,全部管理规模(亿元)(统计时间),全部基金数,全部经理数,全部管理规模(亿元)
29,大成基金管理有限公司,详情 公司吧,1999-04-12,,"1,906.56   08-21",179,33,1906.56
30,民生加银基金管理有限公司,详情 公司吧,2008-11-03,,"1,552.85   08-21",104,18,1552.85
31,融通基金管理有限公司,详情 公司吧,2001-05-22,,"1,532.69   08-17",116,26,1532.69
32,上海东方证券资产管理有限公司,详情 公司吧,2010-06-08,,"1,452.97   07-24",74,23,1452.97
33,万家基金管理有限公司,详情 公司吧,2002-08-23,,"1,452.87   08-18",135,21,1452.87
34,长城基金管理有限公司,详情 公司吧,2001-12-27,,"1,451.53   08-14",80,23,1451.53
35,海富通基金管理有限公司,详情 公司吧,2003-04-18,,"1,390.42   08-19",109,23,1390.42
36,上投摩根基金管理有限公司,详情 公司吧,2004-05-12,,"1,328.11   08-03",108,30,1328.11
37,华泰柏瑞基金管理有限公司,详情 公司吧,2004-11-18,,"1,278.69   06-30",100,24,1278.69
38,中融基金管理有限公司,详情 公司吧,2013-05-31,,"1,134.24   08-21",103,16,1134.24
39,中银国际证券股份有限公司,详情 公司吧,2002-02-28,暂无评级,"1,072.59   07-29",40,10,1072.59
40,诺安基金管理有限公司,详情 公司吧,2003-12-09,,"1,061.56   06-30",82,26,1061.56
41,中加基金管理有限公司,详情 公司吧,2013-03-27,,"1,049.32   08-20",70,10,1049.32
42,银河基金管理有限公司,详情 公司吧,2002-06-14,,"1,032.65   08-21",110,19,1032.65
43,中信保诚基金管理有限公司,详情 公司吧,2005-09-30,,950.02   07-29,130,23,950.02
44,国投瑞银基金管理有限公司,详情 公司吧,2002-06-13,,945.52   08-13,87,25,945.52
45,光大保德信基金管理有限公司,详情 公司吧,2004-04-22,,894.63   08-03,80,17,894.63
46,长信基金管理有限责任公司,详情 公司吧,2003-05-09,,850.99   08-10,115,24,850.99
47,泰康资产管理有限责任公司,详情 公司吧,2006-02-21,,724.92   08-14,82,14,724.92
48,华富基金管理有限公司,详情 公司吧,2004-04-19,,713.29   08-04,63,14,713.29
49,泓德基金管理有限公司,详情 公司吧,2015-03-03,,680.79   07-14,43,9,680.79
